Id  country  name  lat  lng
464  PL  Oksa  50.72874  20.10086
465  PL  Krasocin  50.88874  20.11863
466  PL  Nowe Siolo  50.23194  23.15884
467  PL  Nowe Miasto  52.65691  20.62838
468  PL  Milanow  51.70374  22.8883
469  PL  Milanowek  52.11879  20.67155
470  PL  Milejczyce  52.51967  23.13206
471  PL  Milejow  51.23226  22.92443
472  PL  Minsk Mazowiecki  52.17935  21.57251
473  PL  Mircze  50.65164  23.89604
474  PL  Mirocin  50.04237  22.55596
475  PL  Mirow  51.1972  21.0329
476  PL  Milakowo  54.00923  20.07125
477  PL  Mirzec  51.13466  21.0571
478  PL  Mlodzieszyn  52.29945  20.20017
479  PL  Mlynarze  52.95417  21.41141
480  PL  Mniow  51.01224  20.48427
481  PL  Mniszkow  51.37017  20.03915
482  PL  Modliborzyce  50.75416  22.32945
483  PL  Mogielnica  51.69432  20.72227
484  PL  Mokobody  52.26523  22.11182
485  PL  Mokotow  52.1934  21.03487
486  PL  Mlawa  53.11278  20.3841
487  PL  Monki  53.40496  22.79791
488  PL  Mikolajki  53.80288  21.57011
489  PL  Mielec  50.28709  21.4239
490  PL  Gluchow  51.77947  20.07666
491  PL  Gnojno  50.60263  20.84913
492  PL  Godzianow  51.89694  20.03589
493  PL  Godziszow  50.74889  22.49794
494  PL  Golcowa  49.77162  22.02501
495  PL  Goldap  54.30631  22.30362
496  PL  Golymin-Osrodek  52.808  20.87325
497  PL  Goniadz  53.48953  22.73578
498  PL  Mietne  51.92135  21.57457
499  PL  Goraj  50.72184  22.66651
500  PL  Gorki  49.64385  22.04304
501  PL  Gorlice  49.65563  21.16035
502  PL  Gorliczyna  50.09217  22.48764
503  PL  Gorno  50.28243  22.145
504  PL  Gnojnik  49.89397  20.60863
505  PL  Konstantynow  52.20746  23.0853
506  PL  Koprzywnica  50.5934  21.5838
507  PL  Korczew  52.35327  22.61338
508  PL  Gora Kalwaria  51.97653  21.21537
509  PL  Nowe Miasto nad Pilica  51.61812  20.57619
510  PL  Morawica  50.74678  20.61756
511  PL  Moszczenica  49.73668  21.09238
512  PL  Melgiew  51.22519  22.78414
513  PL  Miaczyn  50.73825  23.5013
514  PL  Miastkow Koscielny  51.88407  21.82528
515  PL  Michalow  50.49541  20.46178
516  PL  Michalow  50.54709  23.60361
517  PL  Michalow  50.73727  23.02297
518  PL  Michalow-Reginow  52.41711  20.96595
519  PL  Michalowice  52.17435  20.88089
520  PL  Medyka  49.80526  22.92229
521  PL  Michalowo  53.03492  23.60996
522  PL  Miechow  50.35648  20.02788
523  PL  Maszkienice  49.9892  20.68657
524  PL  lyse  53.36443  21.56487
525  PL  Mrozy  52.16609  21.80263
526  PL  Mszana Gorna  49.66202  20.09734
527  PL  Nowa Sarzyna  50.32086  22.34456
528  PL  Nowa Slupia  50.86432  21.09049
529  PL  Nowe Brzesko  50.13222  20.37663
530  PL  Michow  51.52573  22.31435
531  PL  Mordy  52.2116  22.51725
532  PL  Medrzechow  50.28221  20.94749
533  PL  Mrozy  52.01975  20.36702
534  PL  Mragowo  53.86437  21.30507
535  PL  Miejsce Piastowe  49.6344  21.78735
536  PL  Miedzyrzec Podlaski  51.9864  22.78248
537  PL  Miedzna  52.46778  22.08947
538  PL  Miedziana Gora  50.9368  20.55096
539  PL  Jeziorzany  51.60245  22.27667
540  PL  Maciejowice  51.69222  21.55342
541  PL  Majdan Krolewski  50.37935  21.74615
